,resampling,test,metric,value
110,38,9,fpr_bin,0.24497991967871485
111,38,9,err_ens,0.012165450121654502
112,38,9,fnr_ens,0.0
113,38,9,fpr_ens,0.060240963855421686
114,41,9,err_bin,0.05190592051905921
115,41,9,fnr_bin,0.0
116,41,9,fpr_bin,0.2570281124497992
117,41,9,err_ens,0.013787510137875101
118,41,9,fnr_ens,0.0
119,41,9,fpr_ens,0.06827309236947791
120,38,10,err_bin,0.038118410381184104
121,38,10,fnr_bin,0.0
122,38,10,fpr_bin,0.18875502008032127
123,38,10,err_ens,0.009732360097323601
124,38,10,fnr_ens,0.0
125,38,10,fpr_ens,0.04819277108433735
126,41,10,err_bin,0.05190592051905921
127,41,10,fnr_bin,0.0
128,41,10,fpr_bin,0.2570281124497992
129,41,10,err_ens,0.009732360097323601
130,41,10,fnr_ens,0.0
131,41,10,fpr_ens,0.04819277108433735
132,38,11,err_bin,0.047850770478507706
133,38,11,fnr_bin,0.0
134,38,11,fpr_bin,0.23694779116465864
135,38,11,err_ens,0.012165450121654502
136,38,11,fnr_ens,0.0
137,38,11,fpr_ens,0.060240963855421686
138,41,11,err_bin,0.039740470397404706
139,41,11,fnr_bin,0.0
140,41,11,fpr_bin,0.19678714859437751
141,41,11,err_ens,0.008110300081103
142,41,11,fnr_ens,0.0
143,41,11,fpr_ens,0.040160642570281124
144,38,12,err_bin,0.051094890510948905
145,38,12,fnr_bin,0.0
146,38,12,fpr_bin,0.25301204819277107
147,38,12,err_ens,0.019464720194647202
148,38,12,fnr_ens,0.0
149,38,12,fpr_ens,0.0963855421686747
150,41,12,err_bin,0.058394160583941604
151,41,12,fnr_bin,0.0
152,41,12,fpr_bin,0.2891566265060241
153,41,12,err_ens,0.009732360097323601
154,41,12,fnr_ens,0.0
155,41,12,fpr_ens,0.04819277108433735
156,38,13,err_bin,0.055150040551500405
157,38,13,fnr_bin,0.0
158,38,13,fpr_bin,0.27309236947791166
159,38,13,err_ens,0.0170316301703163
160,38,13,fnr_ens,0.0
161,38,13,fpr_ens,0.08433734939759036
162,41,13,err_bin,0.030819140308191405
163,41,13,fnr_bin,0.0
164,41,13,fpr_bin,0.15261044176706828
165,41,13,err_ens,0.008921330089213302
166,41,13,fnr_ens,0.0010162601626016261
167,41,13,fpr_ens,0.040160642570281124
168,38,14,err_bin,0.04460665044606651
169,38,14,fnr_bin,0.0
170,38,14,fpr_bin,0.22088353413654618
171,38,14,err_ens,0.017842660178426603
172,38,14,fnr_ens,0.0
173,38,14,fpr_ens,0.08835341365461848
174,41,14,err_bin,0.0413625304136253
175,41,14,fnr_bin,0.0
176,41,14,fpr_bin,0.20481927710843373
177,41,14,err_ens,0.013787510137875101
178,41,14,fnr_ens,0.0
179,41,14,fpr_ens,0.06827309236947791
180,38,15,err_bin,0.05271695052716951
181,38,15,fnr_bin,0.0
182,38,15,fpr_bin,0.26104417670682734
183,38,15,err_ens,0.013787510137875101
184,38,15,fnr_ens,0.0010162601626016261
185,38,15,fpr_ens,0.0642570281124498
186,41,15,err_bin,0.04460665044606651
187,41,15,fnr_bin,0.0
188,41,15,fpr_bin,0.22088353413654618
189,41,15,err_ens,0.010543390105433901
190,41,15,fnr_ens,0.0020325203252032522
191,41,15,fpr_ens,0.04417670682730924
192,38,16,err_bin,0.05596107055961071
193,38,16,fnr_bin,0.0
194,38,16,fpr_bin,0.27710843373493976
195,38,16,err_ens,0.014598540145985401
196,38,16,fnr_ens,0.0
197,38,16,fpr_ens,0.07228915662650602
198,41,16,err_bin,0.0364963503649635
199,41,16,fnr_bin,0.0
200,41,16,fpr_bin,0.18072289156626506
201,41,16,err_ens,0.009732360097323601
202,41,16,fnr_ens,0.0
203,41,16,fpr_ens,0.04819277108433735
204,38,17,err_bin,0.05596107055961071
205,38,17,fnr_bin,0.0
206,38,17,fpr_bin,0.27710843373493976
207,38,17,err_ens,0.0186536901865369
208,38,17,fnr_ens,0.0
209,38,17,fpr_ens,0.09236947791164658
210,41,17,err_bin,0.055150040551500405
211,41,17,fnr_bin,0.0
212,41,17,fpr_bin,0.27309236947791166
213,41,17,err_ens,0.012976480129764802
214,41,17,fnr_ens,0.0
215,41,17,fpr_ens,0.0642570281124498
216,38,18,err_bin,0.047039740470397405
217,38,18,fnr_bin,0.0
218,38,18,fpr_bin,0.23293172690763053
219,38,18,err_ens,0.013787510137875101
220,38,18,fnr_ens,0.0
221,38,18,fpr_ens,0.06827309236947791
222,41,18,err_bin,0.0364963503649635
223,41,18,fnr_bin,0.0
224,41,18,fpr_bin,0.18072289156626506
225,41,18,err_ens,0.013787510137875101
226,41,18,fnr_ens,0.0
227,41,18,fpr_ens,0.06827309236947791
228,38,19,err_bin,0.06001622060016221
229,38,19,fnr_bin,0.0
230,38,19,fpr_bin,0.2971887550200803
231,38,19,err_ens,0.012976480129764802
232,38,19,fnr_ens,0.0
233,38,19,fpr_ens,0.0642570281124498
234,41,19,err_bin,0.058394160583941604
235,41,19,fnr_bin,0.0
236,41,19,fpr_bin,0.2891566265060241
237,41,19,err_ens,0.008921330089213302
238,41,19,fnr_ens,0.0
239,41,19,fpr_ens,0.04417670682730924
240,38,20,err_bin,0.055150040551500405
241,38,20,fnr_bin,0.0
242,38,20,fpr_bin,0.27309236947791166
243,38,20,err_ens,0.0202757502027575
244,38,20,fnr_ens,0.0
245,38,20,fpr_ens,0.10040160642570281
246,41,20,err_bin,0.042173560421735604
247,41,20,fnr_bin,0.0
248,41,20,fpr_bin,0.20883534136546184
249,41,20,err_ens,0.012976480129764802
250,41,20,fnr_ens,0.0
251,41,20,fpr_ens,0.0642570281124498
252,38,21,err_bin,0.04866180048661801
253,38,21,fnr_bin,0.0
254,38,21,fpr_bin,0.24096385542168675
255,38,21,err_ens,0.012165450121654502
256,38,21,fnr_ens,0.0
257,38,21,fpr_ens,0.060240963855421686
258,41,21,err_bin,0.050283860502838604
259,41,21,fnr_bin,0.0
260,41,21,fpr_bin,0.24899598393574296
261,41,21,err_ens,0.009732360097323601
262,41,21,fnr_ens,0.0010162601626016261
263,41,21,fpr_ens,0.04417670682730924
264,38,22,err_bin,0.0575831305758313
265,38,22,fnr_bin,0.0
266,38,22,fpr_bin,0.285140562248996
267,38,22,err_ens,0.013787510137875101
268,38,22,fnr_ens,0.0
269,38,22,fpr_ens,0.06827309236947791
270,41,22,err_bin,0.05271695052716951
271,41,22,fnr_bin,0.0010162601626016261
272,41,22,fpr_bin,0.2570281124497992
273,41,22,err_ens,0.0072992700729927005
274,41,22,fnr_ens,0.0010162601626016261
275,41,22,fpr_ens,0.0321285140562249
276,38,23,err_bin,0.04866180048661801
277,38,23,fnr_bin,0.0
278,38,23,fpr_bin,0.24096385542168675
279,38,23,err_ens,0.019464720194647202
280,38,23,fnr_ens,0.0
281,38,23,fpr_ens,0.0963855421686747
282,41,23,err_bin,0.046228710462287104
283,41,23,fnr_bin,0.0
284,41,23,fpr_bin,0.2289156626506024
285,41,23,err_ens,0.0032441200324412004
286,41,23,fnr_ens,0.0
287,41,23,fpr_ens,0.01606425702811245
288,38,24,err_bin,0.047850770478507706
289,38,24,fnr_bin,0.0
290,38,24,fpr_bin,0.23694779116465864
291,38,24,err_ens,0.019464720194647202
292,38,24,fnr_ens,0.0010162601626016261
293,38,24,fpr_ens,0.09236947791164658
294,41,24,err_bin,0.043795620437956206
295,41,24,fnr_bin,0.0
296,41,24,fpr_bin,0.21686746987951808
297,41,24,err_ens,0.009732360097323601
298,41,24,fnr_ens,0.0
299,41,24,fpr_ens,0.04819277108433735
300,38,25,err_bin,0.054339010543390104
301,38,25,fnr_bin,0.0
302,38,25,fpr_bin,0.26907630522088355
303,38,25,err_ens,0.016220600162206
304,38,25,fnr_ens,0.0
305,38,25,fpr_ens,0.08032128514056225
306,41,25,err_bin,0.0332522303325223
307,41,25,fnr_bin,0.0
308,41,25,fpr_bin,0.1646586345381526
309,41,25,err_ens,0.010543390105433901
310,41,25,fnr_ens,0.0
311,41,25,fpr_ens,0.05220883534136546
312,38,26,err_bin,0.0640713706407137
313,38,26,fnr_bin,0.0
314,38,26,fpr_bin,0.3172690763052209
315,38,26,err_ens,0.012976480129764802
316,38,26,fnr_ens,0.0
317,38,26,fpr_ens,0.0642570281124498
318,41,26,err_bin,0.06082725060827251
319,41,26,fnr_bin,0.0
320,41,26,fpr_bin,0.30120481927710846
321,41,26,err_ens,0.009732360097323601
322,41,26,fnr_ens,0.0
323,41,26,fpr_ens,0.04819277108433735
324,38,27,err_bin,0.047039740470397405
325,38,27,fnr_bin,0.0
326,38,27,fpr_bin,0.23293172690763053
327,38,27,err_ens,0.012165450121654502
328,38,27,fnr_ens,0.0
329,38,27,fpr_ens,0.060240963855421686
330,41,27,err_bin,0.040551500405515
331,41,27,fnr_bin,0.0
332,41,27,fpr_bin,0.20080321285140562
333,41,27,err_ens,0.008921330089213302
334,41,27,fnr_ens,0.0
335,41,27,fpr_ens,0.04417670682730924
336,38,28,err_bin,0.05271695052716951
337,38,28,fnr_bin,0.0
338,38,28,fpr_bin,0.26104417670682734
339,38,28,err_ens,0.013787510137875101
340,38,28,fnr_ens,0.0
341,38,28,fpr_ens,0.06827309236947791
342,41,28,err_bin,0.0575831305758313
343,41,28,fnr_bin,0.0
344,41,28,fpr_bin,0.285140562248996
345,41,28,err_ens,0.014598540145985401
346,41,28,fnr_ens,0.0
347,41,28,fpr_ens,0.07228915662650602
348,38,29,err_bin,0.05596107055961071
349,38,29,fnr_bin,0.0
350,38,29,fpr_bin,0.27710843373493976
351,38,29,err_ens,0.0170316301703163
352,38,29,fnr_ens,0.0010162601626016261
353,38,29,fpr_ens,0.08032128514056225
354,41,29,err_bin,0.05596107055961071
355,41,29,fnr_bin,0.0
356,41,29,fpr_bin,0.27710843373493976
357,41,29,err_ens,0.012165450121654502
358,41,29,fnr_ens,0.0
359,41,29,fpr_ens,0.060240963855421686
360,38,30,err_bin,0.064882400648824
361,38,30,fnr_bin,0.0
362,38,30,fpr_bin,0.321285140562249
363,38,30,err_ens,0.012165450121654502
364,38,30,fnr_ens,0.0
365,38,30,fpr_ens,0.060240963855421686
366,41,30,err_bin,0.042984590429845905
367,41,30,fnr_bin,0.0
368,41,30,fpr_bin,0.21285140562248997
369,41,30,err_ens,0.013787510137875101
370,41,30,fnr_ens,0.0
371,41,30,fpr_ens,0.06827309236947791
372,38,31,err_bin,0.06163828061638281
373,38,31,fnr_bin,0.0
374,38,31,fpr_bin,0.30522088353413657
375,38,31,err_ens,0.013787510137875101
376,38,31,fnr_ens,0.0
377,38,31,fpr_ens,0.06827309236947791
378,41,31,err_bin,0.06001622060016221
379,41,31,fnr_bin,0.0
380,41,31,fpr_bin,0.2971887550200803
381,41,31,err_ens,0.010543390105433901
382,41,31,fnr_ens,0.0
383,41,31,fpr_ens,0.05220883534136546
384,38,32,err_bin,0.050283860502838604
385,38,32,fnr_bin,0.0
386,38,32,fpr_bin,0.24899598393574296
387,38,32,err_ens,0.009732360097323601
388,38,32,fnr_ens,0.0
389,38,32,fpr_ens,0.04819277108433735
390,41,32,err_bin,0.062449310624493104
391,41,32,fnr_bin,0.0
392,41,32,fpr_bin,0.3092369477911647
393,41,32,err_ens,0.012165450121654502
394,41,32,fnr_ens,0.0
395,41,32,fpr_ens,0.060240963855421686
396,38,33,err_bin,0.047039740470397405
397,38,33,fnr_bin,0.0
398,38,33,fpr_bin,0.23293172690763053
399,38,33,err_ens,0.012976480129764802
400,38,33,fnr_ens,0.0
401,38,33,fpr_ens,0.0642570281124498
402,41,33,err_bin,0.04460665044606651
403,41,33,fnr_bin,0.0
404,41,33,fpr_bin,0.22088353413654618
405,41,33,err_ens,0.009732360097323601
406,41,33,fnr_ens,0.0
407,41,33,fpr_ens,0.04819277108433735
408,38,34,err_bin,0.051094890510948905
409,38,34,fnr_bin,0.0
410,38,34,fpr_bin,0.25301204819277107
411,38,34,err_ens,0.0113544201135442
412,38,34,fnr_ens,0.0
413,38,34,fpr_ens,0.05622489959839357
414,41,34,err_bin,0.05271695052716951
415,41,34,fnr_bin,0.0
416,41,34,fpr_bin,0.26104417670682734
417,41,34,err_ens,0.013787510137875101
418,41,34,fnr_ens,0.0020325203252032522
419,41,34,fpr_ens,0.060240963855421686
420,38,35,err_bin,0.054339010543390104
421,38,35,fnr_bin,0.0
422,38,35,fpr_bin,0.26907630522088355
423,38,35,err_ens,0.013787510137875101
424,38,35,fnr_ens,0.0010162601626016261
425,38,35,fpr_ens,0.0642570281124498
426,41,35,err_bin,0.05271695052716951
427,41,35,fnr_bin,0.0
428,41,35,fpr_bin,0.26104417670682734
429,41,35,err_ens,0.0072992700729927005
430,41,35,fnr_ens,0.0
431,41,35,fpr_ens,0.03614457831325301
432,38,36,err_bin,0.05190592051905921
433,38,36,fnr_bin,0.0
434,38,36,fpr_bin,0.2570281124497992
435,38,36,err_ens,0.016220600162206
436,38,36,fnr_ens,0.0
437,38,36,fpr_ens,0.08032128514056225
438,41,36,err_bin,0.054339010543390104
439,41,36,fnr_bin,0.0
440,41,36,fpr_bin,0.26907630522088355
441,41,36,err_ens,0.013787510137875101
442,41,36,fnr_ens,0.0
443,41,36,fpr_ens,0.06827309236947791
444,38,37,err_bin,0.043795620437956206
445,38,37,fnr_bin,0.0
446,38,37,fpr_bin,0.21686746987951808
447,38,37,err_ens,0.008921330089213302
448,38,37,fnr_ens,0.0
449,38,37,fpr_ens,0.04417670682730924
450,41,37,err_bin,0.05677210056772101
451,41,37,fnr_bin,0.0
452,41,37,fpr_bin,0.28112449799196787
453,41,37,err_ens,0.0113544201135442
454,41,37,fnr_ens,0.0
455,41,37,fpr_ens,0.05622489959839357
456,38,38,err_bin,0.0494728304947283
457,38,38,fnr_bin,0.0
458,38,38,fpr_bin,0.24497991967871485
459,38,38,err_ens,0.0113544201135442
460,38,38,fnr_ens,0.0
461,38,38,fpr_ens,0.05622489959839357
462,41,38,err_bin,0.058394160583941604
463,41,38,fnr_bin,0.0
464,41,38,fpr_bin,0.2891566265060241
465,41,38,err_ens,0.008110300081103
466,41,38,fnr_ens,0.0
467,41,38,fpr_ens,0.040160642570281124
468,38,39,err_bin,0.054339010543390104
469,38,39,fnr_bin,0.0
470,38,39,fpr_bin,0.26907630522088355
471,38,39,err_ens,0.013787510137875101
472,38,39,fnr_ens,0.0
473,38,39,fpr_ens,0.06827309236947791
474,41,39,err_bin,0.04866180048661801
475,41,39,fnr_bin,0.0
476,41,39,fpr_bin,0.24096385542168675
477,41,39,err_ens,0.004866180048661801
478,41,39,fnr_ens,0.0
