,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_cnn__batch_size,param_cnn__epochs,param_cnn__len_filter,param_cnn__num_filter,param_cnn__num_layer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
28,113.07757134437561,4.500619823966239,12.66805295944214,3.6461497360603157,20,50,0.1,8,2,"{'cnn__batch_size': 20, 'cnn__epochs': 50, 'cnn__len_filter': 0.1, 'cnn__num_filter': 8, 'cnn__num_layer': 2}",0.9867841601371765,0.9955947399139404,0.9867841601371765,0.9955849647521973,0.9933775067329407,0.9916251063346863,0.004034325142336582,29
29,155.60011405944823,14.83541175764245,15.028067111968994,3.508883014610611,20,50,0.1,8,3,"{'cnn__batch_size': 20, 'cnn__epochs': 50, 'cnn__len_filter': 0.1, 'cnn__num_filter': 8, 'cnn__num_layer': 3}",0.9889867901802063,0.9955947399139404,0.984581470489502,0.9889624714851379,0.9955849647521973,0.9907420873641968,0.004270901528287392,57
30,129.18691968917847,6.299768587709147,9.9675922870636,1.5861528367812818,20,50,0.2,4,1,"{'cnn__batch_size': 20, 'cnn__epochs': 50, 'cnn__len_filter': 0.2, 'cnn__num_filter': 4, 'cnn__num_layer': 1}",0.9889867901802063,0.9933920502662659,0.9889867901802063,0.9977924823760986,0.9955849647521973,0.9929486155509949,0.0035214240816458554,7
31,162.44067096710205,6.001006073848135,20.58101096153259,3.3344504900396474,20,50,0.2,4,2,"{'cnn__batch_size': 20, 'cnn__epochs': 50, 'cnn__len_filter': 0.2, 'cnn__num_filter': 4, 'cnn__num_layer': 2}",0.9801762104034424,0.9933920502662659,0.9889867901802063,0.9955849647521973,0.9933775067329407,0.9903035044670105,0.005498695288740834,62
32,180.26272563934327,7.786733616887472,10.102080678939819,4.091421242930911,20,50,0.2,4,3,"{'cnn__batch_size': 20, 'cnn__epochs': 50, 'cnn__len_filter': 0.2, 'cnn__num_filter': 4, 'cnn__num_layer': 3}",0.9911894202232361,0.9889867901802063,0.9867841601371765,0.9955849647521973,0.9911699891090393,0.9907430648803711,0.002918318671634263,51
33,157.1960270881653,11.52329120876691,16.423828744888304,6.104931363982768,20,50,0.2,8,1,"{'cnn__batch_size': 20, 'cnn__epochs': 50, 'cnn__len_filter': 0.2, 'cnn__num_filter': 8, 'cnn__num_layer': 1}",0.9911894202232361,0.9933920502662659,0.9867841601371765,0.9955849647521973,0.9933775067329407,0.9920656204223632,0.0029842183521842382,21
34,171.54468631744385,7.0872962652698765,16.864784812927248,3.0876371864939234,20,50,0.2,8,2,"{'cnn__batch_size': 20, 'cnn__epochs': 50, 'cnn__len_filter': 0.2, 'cnn__num_filter': 8, 'cnn__num_layer': 2}",0.9889867901802063,0.9933920502662659,0.9889867901802063,0.9933775067329407,0.9955849647521973,0.9920656204223632,0.002639114914309389,21
35,216.95037174224854,3.5842538447406564,11.122314929962158,2.5080530319486183,20,50,0.2,8,3,"{'cnn__batch_size': 20, 'cnn__epochs': 50, 'cnn__len_filter': 0.2, 'cnn__num_filter': 8, 'cnn__num_layer': 3}",0.9933920502662659,0.9933920502662659,0.9823788404464722,0.9911699891090393,0.9933775067329407,0.9907420873641968,0.00426888840153745,57
36,177.81077728271484,12.434337178531768,5.685141515731812,3.165194946080145,20,100,0.05,4,1,"{'cnn__batch_size': 20, 'cnn__epochs': 100, 'cnn__len_filter': 0.05, 'cnn__num_filter': 4, 'cnn__num_layer': 1}",0.9933920502662659,0.9933920502662659,0.9801762104034424,0.9933775067329407,0.9933775067329407,0.9907430648803711,0.005283431241818086,51
37,174.186918258667,11.013394973793547,10.048452425003052,2.4832467815991155,20,100,0.05,4,2,"{'cnn__batch_size': 20, 'cnn__epochs': 100, 'cnn__len_filter': 0.05, 'cnn__num_filter': 4, 'cnn__num_layer': 2}",0.9889867901802063,0.9933920502662659,0.9911894202232361,0.9889624714851379,0.9867549538612366,0.9898571372032166,0.002256194166448228,76
38,170.81507806777955,3.865583567147476,7.339039421081543,2.456422110472093,20,100,0.05,4,3,"{'cnn__batch_size': 20, 'cnn__epochs': 100, 'cnn__len_filter': 0.05, 'cnn__num_filter': 4, 'cnn__num_layer': 3}",0.9911894202232361,0.9933920502662659,0.984581470489502,0.9933775067329407,0.9889624714851379,0.9903005838394165,0.0032958595680057474,65
39,142.30235958099365,5.000456732684014,8.824246835708617,3.65522744134425,20,100,0.05,8,1,"{'cnn__batch_size': 20, 'cnn__epochs': 100, 'cnn__len_filter': 0.05, 'cnn__num_filter': 8, 'cnn__num_layer': 1}",0.9889867901802063,0.9933920502662659,0.9889867901802063,0.9911699891090393,0.9889624714851379,0.9902996182441711,0.0017638411357006386,67
40,168.34116921424865,5.588358976771643,9.365071296691895,3.8428407186185103,20,100,0.05,8,2,"{'cnn__batch_size': 20, 'cnn__epochs': 100, 'cnn__len_filter': 0.05, 'cnn__num_filter': 8, 'cnn__num_layer': 2}",0.9933920502662659,0.9911894202232361,0.9889867901802063,0.9977924823760986,0.9933775067329407,0.9929476499557495,0.0029200839583806695,9
41,198.70018758773804,14.254359474203515,10.979848194122315,2.955280733033992,20,100,0.05,8,3,"{'cnn__batch_size': 20, 'cnn__epochs': 100, 'cnn__len_filter': 0.05, 'cnn__num_filter': 8, 'cnn__num_layer': 3}",0.9889867901802063,0.9933920502662659,0.9867841601371765,0.9933775067329407,0.9933775067329407,0.991183602809906,0.0027815373653847443,41
42,166.77896027565004,10.070322996016937,9.552829122543335,1.725379774582271,20,100,0.1,4,1,"{'cnn__batch_size': 20, 'cnn__epochs': 100, 'cnn__len_filter': 0.1, 'cnn__num_filter': 4, 'cnn__num_layer': 1}",0.9889867901802063,0.9933920502662659,0.9867841601371765,0.9977924823760986,0.9911699891090393,0.9916250944137573,0.003788435613814161,30
43,209.55217747688295,13.794637311972663,12.957137250900269,4.050206007162717,20,100,0.1,4,2,"{'cnn__batch_size': 20, 'cnn__epochs': 100, 'cnn__len_filter': 0.1, 'cnn__num_filter': 4, 'cnn__num_layer': 2}",0.9911894202232361,0.9955947399139404,0.9867841601371765,0.9977924823760986,0.9889624714851379,0.9920646548271179,0.004087608357478949,26
44,240.96672029495238,2.2776004952749935,13.412429237365723,2.71262621821796,20,100,0.1,4,3,"{'cnn__batch_size': 20, 'cnn__epochs': 100, 'cnn__len_filter': 0.1, 'cnn__num_filter': 4, 'cnn__num_layer': 3}",0.9867841601371765,0.9933920502662659,0.9933920502662659,0.9955849647521973,0.9933775067329407,0.9925061464309692,0.0029849344846451646,17
