,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_dtc__criterion,param_dtc__max_depth,param_featuriser__windows,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
17,1.1571977615356446,0.058755528417608074,0.24200968742370604,0.017025314892049073,gini,5,6,"{'dtc__criterion': 'gini', 'dtc__max_depth': 5, 'featuriser__windows': 6}",0.9779735682819384,0.9779735682819384,0.9757709251101322,0.977924944812362,0.9646799116997793,0.97486458363723,0.0051622936550203904,22
18,1.0813940048217774,0.051106846691047994,0.24260716438293456,0.02609981433353549,entropy,3,1,"{'dtc__criterion': 'entropy', 'dtc__max_depth': 3, 'featuriser__windows': 1}",0.986784140969163,0.9933920704845814,0.986784140969163,0.9933774834437086,0.9889624724061811,0.9898600616545593,0.0029858193181315686,9
19,1.0850051879882812,0.04078095099381486,0.23339085578918456,0.006136382261305091,entropy,3,2,"{'dtc__criterion': 'entropy', 'dtc__max_depth': 3, 'featuriser__windows': 2}",0.9493392070484582,0.9559471365638766,0.947136563876652,0.9514348785871964,0.9624724061810155,0.9532660384514398,0.005445899443425539,28
20,1.0641955375671386,0.024652803374458125,0.2260066032409668,0.004979198648002002,entropy,3,3,"{'dtc__criterion': 'entropy', 'dtc__max_depth': 3, 'featuriser__windows': 3}",0.9273127753303965,0.947136563876652,0.9251101321585903,0.9403973509933775,0.9448123620309051,0.9369538368779843,0.009061186957744232,31
21,1.1245965003967284,0.06747432334946238,0.22620043754577637,0.005154529375055945,entropy,3,4,"{'dtc__criterion': 'entropy', 'dtc__max_depth': 3, 'featuriser__windows': 4}",0.9581497797356828,0.9757709251101322,0.9581497797356828,0.9668874172185431,0.9713024282560706,0.9660520660112223,0.0070372238032809994,26
22,1.080997848510742,0.02721915880824198,0.23079805374145507,0.005813501884751774,entropy,3,5,"{'dtc__criterion': 'entropy', 'dtc__max_depth': 3, 'featuriser__windows': 5}",0.986784140969163,0.9933920704845814,0.9889867841409692,0.9867549668874173,0.9889624724061811,0.9889760869776623,0.0024182312494344903,10
23,1.1353951930999755,0.048799094026670285,0.241202449798584,0.022756153837063288,entropy,3,6,"{'dtc__criterion': 'entropy', 'dtc__max_depth': 3, 'featuriser__windows': 6}",0.9074889867841409,0.9273127753303965,0.9096916299559471,0.9139072847682119,0.9337748344370861,0.9184351022551566,0.010304245198859516,33
24,0.9953971862792969,0.04807540382952314,0.2210005283355713,0.012445114056855337,entropy,4,1,"{'dtc__criterion': 'entropy', 'dtc__max_depth': 4, 'featuriser__windows': 1}",0.9933920704845814,0.9933920704845814,0.9933920704845814,0.9911699779249448,0.9889624724061811,0.992061732356974,0.0017725708341801765,5
25,1.0265974521636962,0.020126665748374645,0.2460020065307617,0.023835990908392522,entropy,4,2,"{'dtc__criterion': 'entropy', 'dtc__max_depth': 4, 'featuriser__windows': 2}",0.9647577092511013,0.9845814977973568,0.9779735682819384,0.9867549668874173,0.9735099337748344,0.9775155351985296,0.007928577241315468,19
26,1.1189980983734131,0.030520523343570423,0.22960386276245118,0.00796532244143994,entropy,4,3,"{'dtc__criterion': 'entropy', 'dtc__max_depth': 4, 'featuriser__windows': 3}",0.9801762114537445,0.986784140969163,0.9845814977973568,0.9933774834437086,0.9845474613686535,0.9858933590065254,0.004313323718902225,13
27,1.1080058097839356,0.04904964214905438,0.22718935012817382,0.005138400591737309,entropy,4,4,"{'dtc__criterion': 'entropy', 'dtc__max_depth': 4, 'featuriser__windows': 4}",0.9713656387665198,0.973568281938326,0.9801762114537445,0.9735099337748344,0.9757174392935982,0.9748675010454045,0.002989943137518032,21
28,1.1265953540802003,0.0492574579907715,0.26240110397338867,0.013835021186646845,entropy,4,5,"{'dtc__criterion': 'entropy', 'dtc__max_depth': 4, 'featuriser__windows': 5}",0.9977973568281938,0.9955947136563876,0.9977973568281938,0.9955849889624724,0.9933774834437086,0.9960303799437913,0.0016535085545830801,2
29,1.2193983554840089,0.0469708168817197,0.27420568466186523,0.01758684052957935,entropy,4,6,"{'dtc__criterion': 'entropy', 'dtc__max_depth': 4, 'featuriser__windows': 6}",0.9691629955947136,0.973568281938326,0.9669603524229075,0.9735099337748344,0.9646799116997793,0.9695762950861122,0.0035326481600743112,25
30,1.1201931953430175,0.03589566251817843,0.26360087394714354,0.014746135034207563,entropy,5,1,"{'dtc__criterion': 'entropy', 'dtc__max_depth': 5, 'featuriser__windows': 1}",0.9889867841409692,0.9933920704845814,0.9933920704845814,0.9955849889624724,0.9911699779249448,0.9925051783995098,0.0022458961111623842,4
31,1.16959547996521,0.03700862363804029,0.25840163230895996,0.007114706186686012,entropy,5,2,"{'dtc__criterion': 'entropy', 'dtc__max_depth': 5, 'featuriser__windows': 2}",0.9845814977973568,0.9911894273127754,0.9889867841409692,0.9889624724061811,0.9867549668874173,0.98809502970894,0.002247828026785123,11
32,1.2561978340148925,0.019680160958632734,0.2518016815185547,0.005037747987324563,entropy,5,3,"{'dtc__criterion': 'entropy', 'dtc__max_depth': 5, 'featuriser__windows': 3}",0.9911894273127754,0.9911894273127754,0.9845814977973568,0.9955849889624724,0.9889624724061811,0.9903015627583122,0.0035778067448555915,7
33,1.2565946578979492,0.033132594501958,0.27300205230712893,0.03228043425813233,entropy,5,4,"{'dtc__criterion': 'entropy', 'dtc__max_depth': 5, 'featuriser__windows': 4}",0.973568281938326,0.9779735682819384,0.9889867841409692,0.9801324503311258,0.9823399558498896,0.9806002081084498,0.005097595502422854,16
34,1.203190517425537,0.03039853195573012,0.21120471954345704,0.037806460658891296,entropy,5,5,"{'dtc__criterion': 'entropy', 'dtc__max_depth': 5, 'featuriser__windows': 5}",1.0,0.9977973568281938,1.0,0.9977924944812362,0.9933774834437086,0.9977934669506278,0.0024182019190369677,1
35,1.0685965538024902,0.14936912367188307,0.13380255699157714,0.02425431556602203,entropy,5,6,"{'dtc__criterion': 'entropy', 'dtc__max_depth': 5, 'featuriser__windows': 6}",0.973568281938326,0.9757709251101322,0.973568281938326,0.977924944812362,0.9690949227373068,0.9739854713072905,0.0029316499120381357,24
