,Sample Number,Time,Type
323,13,0.01953125,batch
324,13,0.01984375,batch
325,13,0.0190625,batch
326,13,0.02046875,batch
327,13,0.0190625,batch
328,13,0.01859375,batch
329,13,0.019375,batch
330,14,0.02046875,batch
331,14,0.02078125,batch
332,14,0.02078125,batch
333,14,0.02234375,batch
334,14,0.02046875,batch
335,14,0.02125,batch
336,14,0.02078125,batch
337,14,0.02,batch
338,14,0.0196875,batch
339,14,0.02078125,batch
340,15,0.02140625,batch
341,15,0.02234375,batch
342,15,0.02421875,batch
343,15,0.021875,batch
344,15,0.0209375,batch
345,15,0.02171875,batch
346,15,0.021875,batch
347,15,0.02046875,batch
348,15,0.02171875,batch
349,15,0.0221875,batch
350,16,0.024375,batch
351,16,0.024375,batch
352,16,0.02453125,batch
353,16,0.024375,batch
354,16,0.023125,batch
355,16,0.0225,batch
356,16,0.0234375,batch
357,16,0.024375,batch
358,16,0.02375,batch
359,16,0.023125,batch
360,17,0.0259375,batch
361,17,0.02734375,batch
362,17,0.02484375,batch
363,17,0.02640625,batch
364,17,0.02359375,batch
365,17,0.026875,batch
366,17,0.0240625,batch
367,17,0.02734375,batch
368,17,0.0253125,batch
369,17,0.0290625,batch
370,18,0.025,batch
371,18,0.02625,batch
372,18,0.025625,batch
373,18,0.02703125,batch
374,18,0.0253125,batch
375,18,0.02859375,batch
376,18,0.02515625,batch
377,18,0.0275,batch
378,18,0.02578125,batch
379,18,0.024375,batch
380,19,0.03,batch
381,19,0.02953125,batch
382,19,0.0265625,batch
383,19,0.02578125,batch
384,19,0.02703125,batch
385,19,0.02765625,batch
386,19,0.029375,batch
387,19,0.02765625,batch
388,19,0.02828125,batch
389,19,0.025625,batch
390,20,0.029375,batch
391,20,0.0275,batch
392,20,0.02640625,batch
393,20,0.02796875,batch
394,20,0.02859375,batch
395,20,0.03171875,batch
396,20,0.0278125,batch
397,20,0.02890625,batch
398,20,0.03296875,batch
399,20,0.02796875,batch
