epoch,valid_err,test_err,train_err,cost,time_of_test,time_per_sample
148, 0.00442, 0.01058, 0.00213, 0.0175, 29.094, 0.02566
149, 0.00442, 0.01058, 0.00206, 0.0173, 32.022, 0.02824
150, 0.00442, 0.01058, 0.00206, 0.0172, 29.290, 0.02583
151, 0.00442, 0.01058, 0.00206, 0.0171, 29.485, 0.02600
152, 0.00442, 0.01058, 0.00198, 0.0170, 29.179, 0.02573
153, 0.00442, 0.01058, 0.00198, 0.0168, 29.161, 0.02572
154, 0.00442, 0.01058, 0.00198, 0.0167, 29.918, 0.02638
155, 0.00442, 0.01058, 0.00191, 0.0166, 29.155, 0.02571
156, 0.00442, 0.01058, 0.00191, 0.0165, 29.222, 0.02577
157, 0.00442, 0.01058, 0.00176, 0.0163, 29.253, 0.02580
158, 0.00442, 0.01058, 0.00184, 0.0162, 29.273, 0.02581
159, 0.00442, 0.01058, 0.00184, 0.0161, 29.333, 0.02587
160, 0.00442, 0.01058, 0.00169, 0.0160, 29.425, 0.02595
161, 0.00442, 0.01058, 0.00176, 0.0159, 29.417, 0.02594
162, 0.00442, 0.01058, 0.00154, 0.0158, 31.057, 0.02739
163, 0.00442, 0.01058, 0.00147, 0.0157, 29.190, 0.02574
164, 0.00442, 0.01058, 0.00140, 0.0156, 29.198, 0.02575
165, 0.00442, 0.01058, 0.00140, 0.0155, 29.701, 0.02619
166, 0.00442, 0.01058, 0.00140, 0.0154, 29.459, 0.02598
167, 0.00442, 0.01058, 0.00132, 0.0153, 29.347, 0.02588
168, 0.00442, 0.01058, 0.00110, 0.0152, 29.025, 0.02560
169, 0.00442, 0.01058, 0.00110, 0.0151, 29.210, 0.02576
170, 0.00442, 0.01058, 0.00103, 0.0150, 29.012, 0.02558
171, 0.00442, 0.01058, 0.00103, 0.0149, 29.608, 0.02611
172, 0.00442, 0.01058, 0.00103, 0.0148, 29.295, 0.02583
173, 0.00442, 0.01058, 0.00088, 0.0147, 29.705, 0.02619
174, 0.00442, 0.01058, 0.00081, 0.0146, 29.280, 0.02582
175, 0.00442, 0.01058, 0.00095, 0.0145, 31.363, 0.02766
176, 0.00442, 0.01058, 0.00081, 0.0144, 29.572, 0.02608
177, 0.00442, 0.01058, 0.00073, 0.0143, 28.927, 0.02551
178, 0.00442, 0.01058, 0.00081, 0.0142, 30.703, 0.02707
179, 0.00442, 0.01058, 0.00073, 0.0141, 29.122, 0.02568
180, 0.00442, 0.01058, 0.00073, 0.0140, 29.282, 0.02582
181, 0.00442, 0.01058, 0.00073, 0.0139, 29.750, 0.02623
182, 0.00442, 0.01058, 0.00066, 0.0138, 29.633, 0.02613
183, 0.00442, 0.01058, 0.00059, 0.0137, 29.123, 0.02568
184, 0.00442, 0.01058, 0.00066, 0.0137, 29.324, 0.02586
185, 0.00442, 0.01058, 0.00051, 0.0136, 29.200, 0.02575
186, 0.00442, 0.01058, 0.00044, 0.0135, 29.193, 0.02574
187, 0.00442, 0.01058, 0.00037, 0.0134, 29.439, 0.02596
188, 0.00442, 0.01058, 0.00037, 0.0133, 29.264, 0.02581
189, 0.00442, 0.01058, 0.00015, 0.0132, 29.222, 0.02577
190, 0.00442, 0.01058, 0.00015, 0.0132, 29.237, 0.02578
191, 0.00442, 0.01058, 0.00015, 0.0131, 30.899, 0.02725
192, 0.00442, 0.01058, 0.00015, 0.0130, 29.348, 0.02588
193, 0.00442, 0.01058, 0.00015, 0.0129, 29.321, 0.02586
194, 0.00442, 0.01058, 0.00015, 0.0128, 29.396, 0.02592
195, 0.00442, 0.01058, 0.00015, 0.0128, 29.294, 0.02583
196, 0.00442, 0.01058, 0.00015, 0.0127, 29.157, 0.02571
197, 0.00442, 0.01058, 0.00015, 0.0126, 29.544, 0.02605
198, 0.00442, 0.00970, 0.00015, 0.0125, 29.265, 0.02581
199, 0.00000, 0.00970, 0.00015, 0.0125, 29.313, 0.02585
200, 0.00442, 0.00970, 0.00007, 0.0124, 29.313, 0.02585
